crop,temperature,rainfall,humidity,soil_ph,nitrogen,phosphorus,potassium,irrigation_days,label
Carrot,17.14,867.08,40.0,6.83,228.12,60.76,169.49,8,1
Radish,18.19,870.14,40.0,5.94,206.49,42.9,181.97,6,1
Potato,17.88,1441.3,63.65,5.77,283.54,48.47,297.88,3,1
Beans,14.64,1609.95,50.37,8.12,106.57,6.73,59.48,1,0
Carrot,18.39,852.39,40.0,6.92,255.42,38.49,227.17,8,1
Beans,21.92,1565.52,56.7,5.87,224.38,45.83,174.16,5,1
Cauliflower,16.2,1359.49,46.0,6.2,340.45,61.27,232.85,6,1
Radish,15.39,670.92,40.0,5.94,154.04,52.63,171.21,7,1
Beetroot,14.79,1101.66,44.13,6.88,289.39,31.72,247.68,5,1
Turnip,10.82,890.15,40.0,6.16,294.55,37.04,139.74,6,1
Beetroot,21.41,1068.2,40.0,6.82,222.21,52.03,199.82,6,0
Beans,19.48,1289.2,42.43,6.48,277.35,38.08,219.81,7,1
Turnip,6.67,1327.58,86.17,7.67,57.95,18.1,73.31,9,0
Beans,15.56,1235.55,46.12,5.84,315.11,57.03,231.35,6,1
Potato,20.23,1860.13,77.85,6.13,381.58,58.83,242.92,2,1
Carrot,17.57,1191.37,43.8,6.47,250.45,51.26,219.73,7,1
KnolKhol,21.85,1033.67,47.65,6.06,288.64,56.38,241.59,8,1
Cauliflower,5.23,334.44,36.18,8.84,133.44,6.05,95.62,10,0
Cauliflower,18.46,877.04,44.82,5.59,364.71,73.75,303.56,9,1
Beans,14.41,1459.63,61.58,5.88,282.94,40.03,212.45,6,1
Beetroot,18.69,1081.41,40.41,6.91,311.46,40.73,205.38,5,1
Potato,17.76,1865.84,66.76,5.98,388.52,61.22,215.57,1,1
Beans,16.04,967.61,40.0,6.19,295.55,33.29,176.41,8,1
KnolKhol,16.31,1100.31,41.19,6.25,285.67,79.62,177.94,7,1
Carrot,17.36,1024.78,40.0,6.44,257.09,58.52,205.88,7,1
Potato,18.06,1431.38,55.16,6.17,269.7,60.5,277.61,3,1
Carrot,16.57,1020.33,40.0,6.15,247.69,57.86,167.92,6,1
