date,temperature,humidity,rainfall
20150101,23.18,75.76,434.34999999999997
20150102,22.14,71.31,3.65
20150103,22.52,67.95,0.0
20150104,22.68,68.37,0.0
20150105,22.43,69.62,0.0
20150106,22.14,69.63,0.0
20150107,22.66,66.16,0.0
20150108,22.15,71.3,0.0
20150109,21.96,72.33,0.0
20150110,21.34,62.88,0.0
20150111,19.04,54.63,0.0
20150112,19.28,59.55,0.0
20150113,19.12,59.56,0.0
20150114,19.23,60.35,0.0
20150115,19.51,61.69,0.0
20150116,20.48,65.19,0.0
20150117,21.61,67.7,0.0
20150118,21.64,66.69,0.0
20150119,21.33,65.62,0.0
20150120,21.13,66.17,0.0
20150121,20.71,65.79,0.0
20150122,20.19,58.53,3.65
20150123,21.65,68.24,7.3
20150124,22.48,69.88,18.25
20150125,22.59,61.05,0.0
20150126,20.89,60.04,0.0
20150127,21.73,64.16,0.0
20150128,22.58,65.73,0.0
20150129,23.39,64.09,0.0
20150130,23.25,64.38,0.0
20150131,22.61,57.48,0.0
20150201,22.23,59.81,0.0
20150202,21.84,57.73,0.0
20150203,21.41,57.46,0.0
20150204,22.0,58.26,0.0
20150205,22.82,55.68,0.0
20150206,22.86,51.48,0.0
20150207,22.96,53.5,3.65
20150208,22.85,52.62,0.0
20150209,22.67,50.22,0.0
20150210,22.26,53.75,0.0
20150211,23.6,52.72,0.0
20150212,24.39,56.32,3.65
20150213,24.64,53.51,14.6
20150214,24.74,46.5,3.65
20150215,24.12,46.08,0.0
20150216,23.1,47.73,0.0
20150217,23.49,42.74,0.0
20150218,23.32,39.87,0.0
20150219,23.66,43.24,0.0
20150220,22.57,43.0,0.0
20150221,22.29,46.45,0.0
20150222,22.8,46.94,0.0
20150223,22.33,42.11,0.0
20150224,23.02,34.29,0.0
20150225,24.3,41.57,0.0
20150226,25.47,56.82,0.0
20150227,26.5,55.3,0.0
20150228,25.44,61.82,116.8
20150301,25.44,63.33,91.25
20150302,26.7,57.08,288.35
20150303,25.82,63.57,1007.4
20150304,25.31,64.36,525.6
20150305,27.04,51.95,0.0
20150306,26.26,62.53,2697.35
20150307,24.86,69.01,1211.8
20150308,24.78,62.93,200.75000000000003
20150309,24.63,59.91,54.75
20150310,24.39,52.5,40.15
20150311,23.99,51.27,0.0
20150312,25.44,54.35,0.0
20150313,25.49,53.13,0.0
20150314,25.35,55.07,47.45
20150315,25.09,65.5,1675.35
20150316,24.2,70.73,2920.0
20150317,24.53,55.93,29.2
20150318,25.13,49.87,0.0
20150319,25.24,47.64,0.0
20150320,24.73,43.42,0.0
20150321,24.84,47.21,0.0
20150322,25.47,40.11,0.0
20150323,27.13,48.41,0.0
20150324,27.79,50.46,0.0
20150325,26.74,45.99,0.0
20150326,25.47,45.29,0.0
20150327,25.64,42.62,0.0
20150328,26.04,40.2,0.0
20150329,26.97,47.58,3.65
20150330,27.65,48.11,7.3
20150331,26.58,55.89,167.9
20150401,26.76,61.06,532.9
20150402,27.42,61.77,109.5
20150403,27.26,64.04,970.9000000000001
20150404,28.42,59.49,160.6
20150405,27.49,59.7,0.0
20150406,27.58,60.19,36.5
20150407,28.33,58.15,171.54999999999998
20150408,26.89,57.54,62.050000000000004
20150409,27.35,46.04,372.3
20150410,27.18,61.28,1335.9
20150411,25.57,67.25,346.75
20150412,24.81,67.15,1591.4
20150413,23.08,77.83,2357.9
20150414,23.92,76.45,1963.7
20150415,24.13,79.31,4544.25
20150416,23.78,77.3,2763.05
20150417,25.12,67.8,1408.8999999999999
20150418,26.03,67.02,295.65000000000003
20150419,25.45,70.54,193.45000000000002
20150420,27.15,63.13,156.95
20150421,26.2,68.22,1638.8500000000001
20150422,25.27,71.12,1832.3
20150423,25.37,71.23,2394.3999999999996
20150424,25.93,72.04,3401.8
20150425,23.26,84.29,5566.25
20150426,25.13,69.3,1299.4
20150427,25.58,67.68,58.4
20150428,26.54,64.36,3.65
20150429,27.38,65.19,109.5
20150430,26.49,69.86,390.55
20150501,27.11,67.25,2076.8500000000004
20150502,25.85,72.54,1109.6
20150503,26.17,68.49,233.6
20150504,26.06,69.99,897.9
20150505,25.89,70.5,102.2
20150506,25.18,73.81,233.6
20150507,25.39,75.81,3799.65
20150508,25.07,79.81,1777.55
20150509,24.96,79.48,540.2
20150510,25.01,74.31,799.35
20150511,24.17,72.54,1408.8999999999999
20150512,24.54,69.25,3208.35
20150513,23.57,80.09,5044.3
20150514,24.32,75.79,1157.05
20150515,24.45,83.77,7840.2
20150516,23.87,86.42,5402.0
20150517,23.47,84.54,3934.7
20150518,24.12,80.26,365.0
20150519,24.95,78.73,602.25
20150520,25.61,77.28,54.75
20150521,25.21,75.12,0.0
20150522,25.21,73.92,21.9
20150523,23.93,80.33,270.1
20150524,24.57,76.24,883.3
20150525,26.02,74.29,83.95
20150526,25.92,73.57,0.0
20150527,24.53,80.3,2927.2999999999997
20150528,22.83,73.38,989.15
20150529,24.9,77.28,1292.1
20150530,25.95,75.36,419.74999999999994
20150531,25.13,80.52,2803.2
20150601,24.53,81.58,981.85
20150602,24.25,81.53,302.95
20150603,23.88,84.7,1737.3999999999999
20150604,23.85,86.85,4504.1
20150605,23.66,85.39,1985.6000000000001
20150606,24.66,76.62,69.35
20150607,24.42,77.76,240.9
20150608,23.6,78.92,156.95
20150609,23.6,81.06,229.95
20150610,24.09,78.48,149.64999999999998
20150611,24.02,81.86,1919.8999999999999
20150612,22.88,81.87,113.15
20150613,23.97,77.69,762.8499999999999
20150614,23.54,73.69,58.4
20150615,23.08,74.64,799.35
20150616,22.89,73.61,186.15
20150617,22.72,78.48,693.5
20150618,23.24,77.4,751.9
20150619,23.43,80.52,2033.0500000000002
20150620,23.81,79.39,1533.0
20150621,23.34,83.37,3956.6
20150622,23.85,81.25,638.75
20150623,24.01,84.39,3566.0499999999997
20150624,24.05,82.08,726.35
20150625,23.67,84.65,1678.9999999999998
20150626,23.02,80.92,2193.65
20150627,23.75,80.21,208.04999999999998
20150628,23.94,82.23,156.95
20150629,24.02,81.97,642.4
20150630,24.01,74.11,164.25
20150701,24.33,78.16,43.8
20150702,24.55,75.89,21.9
20150703,24.81,76.73,76.64999999999999
20150704,24.69,78.1,273.75
20150705,24.92,76.43,156.95
20150706,24.25,74.91,149.64999999999998
20150707,23.21,78.15,113.15
20150708,24.24,76.41,547.5
20150709,24.73,76.4,434.34999999999997
20150710,23.88,81.14,470.85
20150711,24.0,80.34,313.9
20150712,24.73,73.8,21.9
20150713,24.68,74.44,21.9
20150714,24.91,75.35,160.6
20150715,24.1,79.24,204.4
20150716,24.32,76.25,306.59999999999997
20150717,23.12,79.76,1226.3999999999999
20150718,23.02,80.88,1642.5
20150719,22.19,81.72,1197.1999999999998
20150720,23.28,79.71,908.85
20150721,23.49,82.35,974.55
20150722,23.52,82.09,438.0
20150723,23.07,78.57,1153.4
20150724,22.94,77.73,368.65
20150725,22.56,78.83,605.9
20150726,22.63,76.08,146.0
20150727,23.06,74.84,423.4
20150728,24.42,71.33,65.7
20150729,24.2,73.12,29.2
20150730,24.5,71.42,0.0
20150731,23.96,74.65,29.2
20150801,24.09,73.17,109.5
20150802,23.31,77.39,299.29999999999995
20150803,23.39,80.2,835.85
20150804,24.23,74.91,328.5
20150805,23.15,72.6,532.9
20150806,23.93,75.22,354.05
20150807,24.56,75.04,427.04999999999995
20150808,24.4,75.14,492.75000000000006
20150809,24.16,76.03,233.6
20150810,24.33,76.37,492.75000000000006
20150811,23.92,78.8,445.3
20150812,24.47,75.41,281.05
20150813,23.98,77.89,733.65
20150814,24.81,73.07,47.45
20150815,24.79,75.66,1175.3000000000002
20150816,23.78,81.88,3347.05
20150817,24.03,80.0,2485.6499999999996
20150818,25.33,75.05,368.65
20150819,24.97,76.51,222.65
20150820,25.29,73.99,324.85
20150821,24.35,79.73,2485.6499999999996
20150822,23.89,77.3,3861.7
20150823,23.67,74.45,1383.35
20150824,23.94,71.54,189.8
20150825,24.41,71.18,25.55
20150826,24.23,74.32,10.95
20150827,24.08,76.44,266.45
20150828,24.69,71.92,40.15
20150829,25.01,72.36,0.0
20150830,25.49,69.95,0.0
20150831,24.95,72.02,40.15
20150901,25.6,68.45,69.35
20150902,25.27,67.67,47.45
20150903,25.16,71.75,25.55
20150904,24.87,76.96,700.8
20150905,24.38,78.87,755.55
20150906,23.79,80.61,1215.45
20150907,22.93,81.96,2127.95
20150908,22.11,77.58,178.85
20150909,23.47,75.43,193.45000000000002
20150910,22.9,79.68,262.8
20150911,23.57,76.72,69.35
20150912,24.63,72.42,189.8
20150913,24.65,71.12,58.4
20150914,24.15,71.21,80.3
20150915,24.09,72.61,73.0
20150916,24.09,74.86,500.05
20150917,23.41,73.26,167.9
20150918,23.98,76.53,113.15
20150919,24.77,74.06,244.55
20150920,24.11,76.17,368.65
20150921,24.45,69.67,18.25
20150922,26.06,66.9,215.35
20150923,25.15,75.95,1047.55
20150924,24.6,78.81,5266.95
20150925,25.77,72.03,711.75
20150926,24.96,77.45,722.7
20150927,24.0,81.19,4562.5
20150928,23.05,87.99,3591.6
20150929,23.24,86.73,5606.4
20150930,23.56,81.61,2102.4
20151001,23.04,83.71,813.95
20151002,23.82,80.64,905.2
20151003,24.89,75.73,189.8
20151004,24.45,79.45,1595.05
20151005,22.95,85.39,4781.5
20151006,22.77,77.16,580.35
20151007,23.16,80.6,704.4499999999999
20151008,23.18,80.96,1397.95
20151009,23.07,82.58,667.95
20151010,23.61,82.17,1007.4
20151011,23.92,83.14,5898.4
20151012,24.12,79.41,2299.5
20151013,24.57,76.25,76.64999999999999
20151014,24.18,71.71,197.10000000000002
20151015,23.7,67.49,273.75
20151016,24.44,65.9,0.0
20151017,24.24,70.4,25.55
20151018,24.3,74.37,167.9
20151019,24.66,74.7,36.5
20151020,25.22,72.98,135.05
20151021,24.27,74.61,105.85
20151022,24.55,70.79,10.95
20151023,24.76,57.64,7.3
20151024,24.69,63.88,146.0
20151025,23.25,63.75,208.04999999999998
20151026,23.2,67.37,32.85
20151027,24.29,65.77,200.75000000000003
20151028,22.69,82.5,4642.8
20151029,24.0,73.43,445.3
20151030,24.84,69.14,521.9499999999999
20151031,23.47,82.26,1193.55
20151101,23.32,84.87,3551.4500000000003
20151102,22.45,84.55,3226.6
20151103,22.81,85.89,4084.35
20151104,22.95,82.27,1441.75
20151105,23.28,84.91,5548.0
20151106,23.5,79.7,795.7
20151107,23.18,80.15,1310.35
20151108,22.57,84.5,897.9
20151109,22.46,85.83,9490.0
20151110,19.74,92.21,7456.95
20151111,20.56,94.0,1989.25
20151112,22.12,87.28,1927.2
20151113,21.38,83.67,660.65
20151114,20.02,81.85,171.54999999999998
20151115,20.27,89.11,1416.2
20151116,21.67,87.65,525.6
20151117,22.51,83.75,146.0
20151118,21.66,89.32,912.5
20151119,21.76,91.05,1850.5500000000002
20151120,21.95,89.05,1419.8500000000001
20151121,21.33,87.88,416.09999999999997
20151122,20.81,92.24,3263.1
20151123,21.0,91.18,1941.8000000000002
20151124,21.96,88.12,777.4499999999999
20151125,20.49,79.78,0.0
20151126,19.92,77.71,0.0
20151127,21.52,84.35,3.65
20151128,21.88,80.02,3.65
20151129,20.96,85.4,4303.349999999999
20151130,21.34,88.32,1054.8500000000001
20151201,21.49,86.87,551.15
20151202,21.19,89.07,740.9499999999999
20151203,22.37,84.9,102.2
20151204,22.09,83.32,131.4
20151205,21.49,86.16,2186.35
20151206,21.23,90.81,1427.15
20151207,21.99,87.93,1175.3000000000002
20151208,20.43,82.52,1474.6
20151209,20.99,87.39,624.15
20151210,22.64,88.64,456.25
20151211,22.82,84.02,91.25
20151212,22.66,85.85,244.55
20151213,22.8,82.14,149.64999999999998
20151214,22.68,83.49,850.45
20151215,22.55,83.76,167.9
20151216,21.51,77.2,7.3
20151217,20.72,80.52,0.0
20151218,22.06,82.52,0.0
20151219,22.05,81.05,51.1
20151220,21.67,81.45,14.6
20151221,21.37,72.77,0.0
20151222,20.18,71.07,0.0
20151223,20.47,76.2,0.0
20151224,20.73,73.37,0.0
20151225,20.41,75.49,0.0
20151226,20.56,74.66,0.0
20151227,20.99,78.52,0.0
20151228,20.68,74.27,0.0
20151229,20.21,72.48,0.0
20151230,20.5,64.36,0.0
20151231,19.27,74.2,0.0
20160101,18.81,72.14,0.0
20160102,18.93,67.5,0.0
20160103,19.05,64.92,0.0
20160104,18.91,66.25,0.0
20160105,19.26,68.5,0.0
20160106,20.37,71.48,0.0
20160107,20.51,72.53,0.0
20160108,20.41,71.88,0.0
20160109,20.84,66.55,0.0
20160110,19.98,64.99,0.0
20160111,19.82,64.64,0.0
20160112,20.36,67.28,0.0
20160113,19.16,71.88,0.0
20160114,20.58,63.1,0.0
20160115,20.17,68.83,0.0
20160116,21.14,68.58,0.0
20160117,21.77,68.41,0.0
20160118,22.22,69.48,3.65
20160119,22.98,72.04,3.65
20160120,23.43,73.02,21.9
20160121,23.62,76.3,905.2
20160122,22.63,75.93,850.45
20160123,23.11,71.11,80.3
20160124,23.68,71.76,25.55
20160125,24.22,71.11,14.6
20160126,24.32,68.48,3.65
20160127,23.85,66.51,0.0
20160128,22.96,64.98,0.0
20160129,22.57,56.79,0.0
20160130,21.8,59.7,0.0
20160131,21.54,60.47,0.0
20160201,21.39,54.11,0.0
20160202,21.65,50.61,0.0
20160203,21.38,51.06,0.0
20160204,21.51,55.05,0.0
20160205,21.72,58.17,0.0
20160206,23.03,60.87,0.0
20160207,24.49,62.12,0.0
20160208,25.12,62.97,0.0
20160209,24.73,60.48,0.0
20160210,25.04,56.44,29.2
20160211,25.24,59.52,25.55
20160212,24.7,58.86,0.0
20160213,24.39,52.05,0.0
20160214,23.94,53.39,0.0
20160215,23.53,52.27,0.0
20160216,24.72,59.32,0.0
20160217,24.56,56.83,0.0
20160218,24.92,58.92,0.0
20160219,24.43,57.2,0.0
20160220,26.22,53.75,0.0
20160221,27.2,53.85,14.6
20160222,26.9,48.61,7.3
